salary
₹25T - ₹30T (Employer Est.)
₹25T - ₹30T (Employer Est.)
₹28T (Employer Est.)
₹22T - ₹25T (Employer Est.)
₹20T - ₹60T (Employer Est.)
₹20T - ₹30T (Employer Est.)
₹25T - ₹30T (Employer Est.)
₹18T (Employer Est.)
₹15T - ₹25T (Employer Est.)
₹15T - ₹25T (Employer Est.)
₹15T - ₹25T (Employer Est.)
₹16T - ₹30T (Employer Est.)
₹10T - ₹15T (Employer Est.)
₹10T - ₹13T (Employer Est.)
₹15T - ₹30T (Employer Est.)
₹15T - ₹20T (Employer Est.)
₹9T - ₹12T (Employer Est.)
₹15T - ₹20T (Employer Est.)
₹13T - ₹16T (Employer Est.)
₹10T - ₹13T (Employer Est.)
₹20T - ₹25T (Employer Est.)
₹15T - ₹30T (Employer Est.)
₹20T - ₹40T (Employer Est.)
₹20T (Employer Est.)
₹13T - ₹20T (Employer Est.)
₹15T - ₹18T (Employer Est.)
₹10T (Employer Est.)
Employer Provided Salary:₹25T - ₹30T 
